Latitude,Longitude,Average_dist_F,Average_popularity_F,Average_rating_F,Max_rating_F,Max_popularity_F,Min_rating_F,Min_popularity_F
53.35023,-6.279696,618.5,0.9692015426367661,9.09,9.3,0.9959148693043851,8.9,0.923782316811884
53.357841,-6.251557,824.0,0.9641965433509497,8.9,9.4,0.9970289958577346,8.7,0.8979860019997143
53.356307,-6.273717,999.3,0.9702328238823025,8.98,9.4,0.9988858734466505,8.7,0.923782316811884
53.349562,-6.278198,584.4,0.972195400657049,9.129999999999999,9.3,0.9992572489644337,9.0,0.923782316811884
53.336021,-6.26298,709.7,0.9911555492072562,9.219999999999997,9.5,0.9998285959148693,9.1,0.958348807313241
53.359405,-6.276142,726.6,0.9661334095129268,8.54,9.0,0.9966576203399514,8.0,0.9318668761605485
53.33796,-6.24153,600.2,0.966601914012284,8.969999999999999,9.2,0.999485787744608,8.8,0.9146407656049136
53.343368,-6.27012,607.5,0.992226824739323,9.239999999999998,9.5,0.9998285959148693,9.1,0.9630052849592915
53.334123,-6.265436,697.1,0.9778774460791315,9.13,9.5,0.9998285959148693,9.0,0.8949007284673618
53.344304,-6.250427,711.1,0.9884330809884302,9.2,9.5,0.9998285959148693,9.1,0.9530352806741894
53.338755,-6.262003,599.3,0.9889444365090702,9.239999999999998,9.5,0.9998285959148693,9.1,0.958348807313241
53.347777,-6.244239,683.7,0.9859648621625482,8.98,9.2,0.999485787744608,8.8,0.9530352806741894
53.336074,-6.252825,765.7,0.9915726324810741,9.15,9.5,0.9998285959148693,9.0,0.9723753749464362
53.330091,-6.268044,693.5,0.9572603913726612,9.040000000000001,9.2,0.9867447507498929,8.9,0.8949007284673618
53.350929,-6.265125,677.9,0.9778660191401229,9.159999999999998,9.4,0.9984573632338237,9.1,0.923782316811884
53.341515,-6.256853,519.9,0.9914726467647478,9.219999999999999,9.5,0.9998285959148693,9.1,0.9630052849592915
53.348279,-6.254662,736.9,0.9885159262962432,9.2,9.4,0.999485787744608,9.1,0.9630052849592915
53.35893,-6.280337,698.5,0.9638394515069276,8.27,8.7,0.9966576203399514,8.0,0.9318668761605485
53.344115,-6.237153,704.6,0.9739065847736039,8.969999999999999,9.2,0.999485787744608,8.8,0.9146407656049136
